ds,yhat,yhat_lower,yhat_upper
2025-10-01,97.56561756,85.25119357893718,109.73226103541256
2025-11-01,97.56561756,85.59443196696914,109.48353573176614
2025-12-01,97.56561756,85.35522491195628,109.28758374818452
2026-01-01,97.56561756,85.51565522761824,109.79853156923267
2026-02-01,97.56561756,86.74476095082778,109.18824556148613
2026-03-01,90.00544968400001,78.66442678307327,100.99221236357033
2026-04-01,82.01158240000001,70.04492124875455,93.87062021116952
2026-05-01,97.56561756,86.1099687879041,109.44164447014307
2026-06-01,97.56561756,86.25003622857939,109.0313063014726
2026-07-01,97.56561756,85.11883167455026,109.00625453837813
2026-08-01,97.56561756,85.57777448559234,109.01041969286679
2026-09-01,97.56561756,86.46016683311963,109.61691093110872
