ds,yhat,yhat_lower,yhat_upper
2025-10-01,22.5646941,16.026111001718323,29.192863670354768
2025-11-01,22.5646941,16.346486185524356,28.778819573450136
2025-12-01,22.5646941,16.263602218028836,28.956374557369045
2026-01-01,22.5646941,16.01278400398495,28.681941482619884
2026-02-01,22.5646941,16.28101772236164,29.2472305145476
2026-03-01,17.0185128,10.610762454011386,23.394734790041408
2026-04-01,22.001846490000002,15.784194872023106,28.40993110875049
2026-05-01,22.5646941,15.906653430572106,29.24530347507135
2026-06-01,22.5646941,15.889302715566041,29.128173429940084
2026-07-01,22.5646941,16.19260323269877,29.40116196358033
2026-08-01,22.5646941,15.524345982367247,28.816354691690456
2026-09-01,22.5646941,16.360789636908326,29.15705768356474
